year,make,model,body_styles
2000,Pontiac,Grand Prix,"[""Sedan"", ""Coupe""]"
2000,Pontiac,Montana,"[""Van/Minivan""]"
2000,Pontiac,Sunfire,"[""Sedan"", ""Coupe"", ""Convertible""]"
2000,Porsche,911,"[""Coupe"", ""Convertible""]"
2000,Porsche,Boxster,"[""Convertible""]"
2000,Saab,9-3,"[""Hatchback"", ""Convertible""]"
2000,Saab,9-5,"[""Wagon"", ""Sedan""]"
2000,Saturn,L-Series,"[""Sedan"", ""Wagon""]"
2000,Saturn,S-Series,"[""Coupe"", ""Sedan"", ""Wagon""]"
2000,Subaru,Forester,"[""SUV""]"
2000,Subaru,Impreza,"[""Wagon"", ""Sedan"", ""Coupe""]"
2000,Subaru,Legacy,"[""Wagon"", ""Sedan""]"
2000,Subaru,Outback,"[""Wagon"", ""Sedan""]"
2000,Suzuki,Esteem,"[""Sedan"", ""Wagon""]"
2000,Suzuki,Grand Vitara,"[""SUV""]"
2000,Suzuki,Swift,"[""Hatchback""]"
2000,Suzuki,Vitara,"[""SUV""]"
2000,Toyota,4Runner,"[""SUV""]"
2000,Toyota,Avalon,"[""Sedan""]"
2000,Toyota,Camry,"[""Sedan""]"
2000,Toyota,Celica,"[""Hatchback""]"
2000,Toyota,Corolla,"[""Sedan""]"
2000,Toyota,Echo,"[""Sedan"", ""Coupe""]"
2000,Toyota,Land Cruiser,"[""SUV""]"
2000,Toyota,MR2,"[""Convertible""]"
2000,Toyota,RAV4,"[""SUV""]"
2000,Toyota,Sienna,"[""Van/Minivan""]"
2000,Toyota,Solara,"[""Coupe"", ""Convertible""]"
2000,Toyota,Tacoma Regular Cab,"[""Pickup""]"
2000,Toyota,Tacoma Xtracab,"[""Pickup""]"
2000,Toyota,Tundra Access Cab,"[""Pickup""]"
2000,Toyota,Tundra Regular Cab,"[""Pickup""]"
2000,Volkswagen,Cabrio,"[""Convertible""]"
2000,Volkswagen,Eurovan,"[""Van/Minivan""]"
2000,Volkswagen,Golf,"[""Hatchback""]"
2000,Volkswagen,GTI,"[""Hatchback""]"
2000,Volkswagen,Jetta,"[""Sedan""]"
2000,Volkswagen,New Beetle,"[""Hatchback""]"
2000,Volkswagen,Passat,"[""Wagon"", ""Sedan""]"
2000,Volvo,C70,"[""Coupe"", ""Convertible""]"
2000,Volvo,S40,"[""Sedan""]"
2000,Volvo,S70,"[""Sedan""]"
2000,Volvo,S80,"[""Sedan""]"
2000,Volvo,V40,"[""Wagon""]"
2000,Volvo,V70,"[""Wagon""]"
2001,Acura,CL,"[""Coupe""]"
2001,Acura,Integra,"[""Hatchback"", ""Sedan""]"
2001,Acura,MDX,"[""SUV""]"
2001,Acura,NSX,"[""Coupe"", ""Convertible""]"
2001,Acura,RL,"[""Sedan""]"
2001,Acura,TL,"[""Sedan""]"
2001,Audi,A4,"[""Sedan"", ""Wagon""]"
2001,Audi,A6,"[""Wagon"", ""Sedan""]"
2001,Audi,A8,"[""Sedan""]"
2001,Audi,allroad,"[""Wagon""]"
2001,Audi,S4,"[""Wagon"", ""Sedan""]"
2001,Audi,S8,"[""Sedan""]"
2001,Audi,TT,"[""Coupe"", ""Convertible""]"
2001,BMW,3 Series,"[""Coupe"", ""Sedan"", ""Wagon"", ""Convertible""]"
2001,BMW,5 Series,"[""Wagon"", ""Sedan""]"
2001,BMW,7 Series,"[""Sedan""]"
2001,BMW,M,"[""Hatchback"", ""Convertible""]"
2001,BMW,M3,"[""Coupe"", ""Convertible""]"
2001,BMW,M5,"[""Sedan""]"
2001,BMW,X5,"[""SUV""]"
2001,BMW,Z3,"[""Convertible"", ""Hatchback""]"
2001,BMW,Z8,"[""Convertible""]"
2001,Buick,Century,"[""Sedan""]"
2001,Buick,LeSabre,"[""Sedan""]"
2001,Buick,Park Avenue,"[""Sedan""]"
2001,Buick,Regal,"[""Sedan""]"
2001,Cadillac,Catera,"[""Sedan""]"
2001,Cadillac,DeVille,"[""Sedan""]"
2001,Cadillac,Eldorado,"[""Coupe""]"
2001,Cadillac,Seville,"[""Sedan""]"
2001,Chevrolet,Astro Cargo,"[""Van/Minivan""]"
2001,Chevrolet,Astro Passenger,"[""Van/Minivan""]"
2001,Chevrolet,Blazer,"[""SUV""]"
2001,Chevrolet,Camaro,"[""Coupe"", ""Convertible""]"
2001,Chevrolet,Cavalier,"[""Sedan"", ""Coupe""]"
2001,Chevrolet,Corvette,"[""Convertible"", ""Coupe"", ""Hatchback""]"
2001,Chevrolet,Express 1500 Cargo,"[""Van/Minivan""]"
2001,Chevrolet,Express 1500 Passenger,"[""Van/Minivan""]"
2001,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]"
2001,Chevrolet,Express 2500 Passenger,"[""Van/Minivan""]"
2001,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
2001,Chevrolet,Express 3500 Passenger,"[""Van/Minivan""]"
2001,Chevrolet,Impala,"[""Sedan""]"
2001,Chevrolet,Lumina,"[""Sedan""]"
2001,Chevrolet,Malibu,"[""Sedan""]"
2001,Chevrolet,Metro,"[""Sedan""]"
2001,Chevrolet,Monte Carlo,"[""Coupe""]"
2001,Chevrolet,Prizm,"[""Sedan""]"
2001,Chevrolet,S10 Crew Cab,"[""Pickup""]"
2001,Chevrolet,S10 Extended Cab,"[""Pickup""]"
2001,Chevrolet,S10 Regular Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 1500 Extended Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 1500 HD Crew Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 1500 Regular Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 2500 Extended Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 2500 HD Extended Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 2500 HD Regular Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 2500 Regular Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 3500 Crew Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 3500 Extended Cab,"[""Pickup""]"
2001,Chevrolet,Silverado 3500 Regular Cab,"[""Pickup""]"
2001,Chevrolet,Suburban 1500,"[""SUV""]"
2001,Chevrolet,Suburban 2500,"[""SUV""]"
2001,Chevrolet,Tahoe,"[""SUV""]"
2001,Chevrolet,Tracker,"[""SUV""]"
2001,Chevrolet,Venture Passenger,"[""Van/Minivan""]"
2001,Chrysler,300M,"[""Sedan""]"
2001,Chrysler,Concorde,"[""Sedan""]"
2001,Chrysler,LHS,"[""Sedan""]"
2001,Chrysler,Prowler,"[""Convertible""]"
2001,Chrysler,PT Cruiser,"[""Wagon""]"
2001,Chrysler,Sebring,"[""Sedan"", ""Coupe"", ""Convertible""]"
2001,Chrysler,Town & Country,"[""Van/Minivan""]"
2001,Chrysler,Voyager,"[""Van/Minivan""]"
2001,Daewoo,Lanos,"[""Hatchback"", ""Sedan""]"
2001,Daewoo,Leganza,"[""Sedan""]"
2001,Daewoo,Nubira,"[""Sedan"", ""Wagon""]"
2001,Dodge,Caravan Passenger,"[""Van/Minivan""]"
2001,Dodge,Dakota Club Cab,"[""Pickup""]"
2001,Dodge,Dakota Quad Cab,"[""Pickup""]"
2001,Dodge,Dakota Regular Cab,"[""Pickup""]"
2001,Dodge,Durango,"[""SUV""]"
2001,Dodge,Grand Caravan Passenger,"[""Van/Minivan""]"
2001,Dodge,Intrepid,"[""Sedan""]"
2001,Dodge,Neon,"[""Sedan""]"
2001,Dodge,Ram 1500 Club Cab,"[""Pickup""]"
2001,Dodge,Ram 1500 Quad Cab,"[""Pickup""]"
2001,Dodge,Ram 1500 Regular Cab,"[""Pickup""]"
2001,Dodge,Ram 2500 Quad Cab,"[""Pickup""]"
2001,Dodge,Ram 2500 Regular Cab,"[""Pickup""]"
2001,Dodge,Ram 3500 Quad Cab,"[""Pickup""]"
2001,Dodge,Ram 3500 Regular Cab,"[""Pickup""]"
2001,Dodge,Ram Van 1500,"[""Van/Minivan""]"
2001,Dodge,Ram Van 2500,"[""Van/Minivan""]"
2001,Dodge,Ram Van 3500,"[""Van/Minivan""]"
2001,Dodge,Ram Wagon 1500,"[""Van/Minivan""]"
2001,Dodge,Ram Wagon 2500,"[""Van/Minivan""]"
2001,Dodge,Ram Wagon 3500,"[""Van/Minivan""]"
2001,Dodge,Stratus,"[""Coupe"", ""Sedan""]"
2001,Dodge,Viper,"[""Convertible"", ""Coupe""]"
2001,Ford,Crown Victoria,"[""Sedan""]"
2001,Ford,Econoline E150 Cargo,"[""Van/Minivan""]"
2001,Ford,Econoline E150 Passenger,"[""Van/Minivan""]"
2001,Ford,Econoline E250 Cargo,"[""Van/Minivan""]"
2001,Ford,Econoline E350 Super Duty Cargo,"[""Van/Minivan""]"
2001,Ford,Econoline E350 Super Duty Passenger,"[""Van/Minivan""]"
2001,Ford,Escape,"[""SUV""]"
2001,Ford,Escort,"[""Sedan""]"
2001,Ford,Excursion,"[""SUV""]"
2001,Ford,Expedition,"[""SUV""]"
2001,Ford,Explorer,"[""SUV""]"
2001,Ford,Explorer Sport,"[""SUV""]"
2001,Ford,Explorer Sport Trac,"[""Pickup""]"
2001,Ford,F150 Regular Cab,"[""Pickup""]"
2001,Ford,F150 Super Cab,"[""Pickup""]"
2001,Ford,F150 SuperCrew Cab,"[""Pickup""]"
2001,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
2001,Ford,F250 Super Duty Regular Cab,"[""Pickup""]"
2001,Ford,F250 Super Duty Super Cab,"[""Pickup""]"
2001,Ford,F350 Super Duty Crew Cab,"[""Pickup""]"
2001,Ford,F350 Super Duty Regular Cab,"[""Pickup""]"
2001,Ford,F350 Super Duty Super Cab,"[""Pickup""]"
